start_x,start_y,start_z,end_x,end_y,end_z,segment_start,segment_end,segment_length
491542.0581,5918507.0931,3,491515.5536000002,5918850.070499999,3,0.000000,343.999979,343.999979
491515.5536000002,5918850.070499999,3,491515.4765999997,5918851.067600001,-1,343.999979,348.123101,4.123122
491515.4765999997,5918851.067600001,-1,491420.9389000004,5920074.4202,-1,348.123101,1575.123085,1226.999984
491420.9389000004,5920074.4202,-1,491419.7467,5920089.3727,-1,1575.123085,1590.123038,14.999953
491419.7467,5920089.3727,-1,491417.4685000004,5920115.272600001,-1,1590.123038,1616.122942,25.999904
491417.4685000004,5920115.272600001,-1,491414.81769999955,5920142.142000001,-1,1616.122942,1643.122783,26.999841
491414.81769999955,5920142.142000001,-1,491411.9910000004,5920167.9878,-1,1643.122783,1669.122699,25.999916
491411.9910000004,5920167.9878,-1,491408.8956000004,5920193.8027,-1,1669.122699,1695.122517,25.999819
491408.8956000004,5920193.8027,-1,491405.5318999998,5920219.584100001,-1,1695.122517,1721.122422,25.999905
491405.5318999998,5920219.584100001,-1,491401.90029999986,5920245.3291,-1,1721.122422,1747.122298,25.999876
491401.90029999986,5920245.3291,-1,491398.0011999998,5920271.035,-1,1747.122298,1773.122227,25.999928
491398.0011999998,5920271.035,-1,491393.83490000013,5920296.698899999,-1,1773.122227,1799.122108,25.999881
491393.83490000013,5920296.698899999,-1,491389.2260999996,5920323.3025,-1,1799.122108,1826.121970,26.999862
491389.2260999996,5920323.3025,-1,491384.33029999956,5920349.854800001,-1,1826.121970,1853.121850,26.999879
491384.33029999956,5920349.854800001,-1,491378.9506000001,5920377.332900001,-1,1853.121850,1881.121620,27.999771
491378.9506000001,5920377.332900001,-1,491373.4718000004,5920403.7711,-1,1881.121620,1908.121540,26.999920
491373.4718000004,5920403.7711,-1,491367.7078999998,5920430.148600001,-1,1908.121540,1935.121448,26.999908
491367.7078999998,5920430.148600001,-1,491361.65940000024,5920456.462200001,-1,1935.121448,1962.121261,26.999813
491361.65940000024,5920456.462200001,-1,491355.32710000034,5920482.709000001,-1,1962.121261,1989.121123,26.999862
491355.32710000034,5920482.709000001,-1,491348.71169999987,5920508.8859,-1,1989.121123,2016.121005,26.999882
491348.71169999987,5920508.8859,-1,491341.81400000025,5920534.989800001,-1,2016.121005,2043.120854,26.999849
491341.81400000025,5920534.989800001,-1,491334.6347000003,5920561.0177,-1,2043.120854,2070.120741,26.999888
491334.6347000003,5920561.0177,-1,491326.8931999998,5920587.926100001,-1,2070.120741,2098.120613,27.999872
491326.8931999998,5920587.926100001,-1,491319.1431,5920613.789799999,-1,2098.120613,2125.120521,26.999908
491319.1431,5920613.789799999,-1,491311.1141999997,5920639.5682,-1,2125.120521,2152.120320,26.999799
491311.1141999997,5920639.5682,-1,491302.80730000045,5920665.2585,-1,2152.120320,2179.120248,26.999928
491302.80730000045,5920665.2585,-1,491294.2235000003,5920690.8575,-1,2179.120248,2206.120070,26.999823
491294.2235000003,5920690.8575,-1,491285.36369999964,5920716.362299999,-1,2206.120070,2233.119901,26.999831
491285.36369999964,5920716.362299999,-1,491276.22890000045,5920741.77,-1,2233.119901,2260.119823,26.999922
491276.22890000045,5920741.77,-1,491266.8202999998,5920767.0776,-1,2260.119823,2287.119756,26.999933
491266.8202999998,5920767.0776,-1,491257.13900000043,5920792.282,-1,2287.119756,2314.119559,26.999803
491257.13900000043,5920792.282,-1,491246.8121999996,5920818.3079,-1,2314.119559,2342.119385,27.999826
491246.8121999996,5920818.3079,-1,491236.5787000004,5920843.293299999,-1,2342.119385,2369.119288,26.999903
491236.5787000004,5920843.293299999,-1,491226.07600000035,5920868.1667,-1,2369.119288,2396.119153,26.999865
491226.07600000035,5920868.1667,-1,491215.3053000001,5920892.9252,-1,2396.119153,2423.118992,26.999839
491215.3053000001,5920892.9252,-1,491204.26779999956,5920917.566,-1,2423.118992,2450.118908,26.999915
491204.26779999956,5920917.566,-1,491192.54110000003,5920942.991900001,-1,2450.118908,2478.118763,27.999855
491192.54110000003,5920942.991900001,-1,491180.9643000001,5920967.3839,-1,2478.118763,2505.118614,26.999851
491180.9643000001,5920967.3839,-1,491169.12459999975,5920991.6493999995,-1,2505.118614,2532.118484,26.999870
491169.12459999975,5920991.6493999995,-1,491157.0236999998,5921015.785700001,-1,2532.118484,2559.118350,26.999866
491157.0236999998,5921015.785700001,-1,491144.19990000036,5921040.6763,-1,2559.118350,2587.118204,27.999854
491144.19990000036,5921040.6763,-1,491131.5708999997,5921064.5405,-1,2587.118204,2614.118050,26.999846
491131.5708999997,5921064.5405,-1,491118.68489999976,5921088.267000001,-1,2614.118050,2641.117972,26.999922
491118.68489999976,5921088.267000001,-1,491105.54339999985,5921111.8528,-1,2641.117972,2668.117768,26.999796
491105.54339999985,5921111.8528,-1,491093.6487999996,5921132.697899999,-1,2668.117768,2692.117762,23.999994
491093.6487999996,5921132.697899999,-1,491081.5547000002,5921153.4277,-1,2692.117762,2716.117592,23.999830
491081.5547000002,5921153.4277,-1,491069.26209999993,5921174.0405,-1,2716.117592,2740.117499,23.999907
491069.26209999993,5921174.0405,-1,491056.2474999996,5921195.3857,-1,2740.117499,2765.117447,24.999948
491056.2474999996,5921195.3857,-1,491043.5532999998,5921215.7535999995,-1,2765.117447,2789.117323,23.999876
491043.5532999998,5921215.7535999995,-1,491030.66420000046,5921235.9988,-1,2789.117323,2813.117261,23.999938
491030.66420000046,5921235.9988,-1,491017.5812999997,5921256.119200001,-1,2813.117261,2837.117110,23.999849
491017.5812999997,5921256.119200001,-1,491003.74849999975,5921276.943499999,-1,2837.117110,2862.117067,24.999957
491003.74849999975,5921276.943499999,-1,490990.2737999996,5921296.8037,-1,2862.117067,2886.116964,23.999898
490990.2737999996,5921296.8037,-1,490976.6090000002,5921316.533600001,-1,2886.116964,2910.116875,23.999911
490976.6090000002,5921316.533600001,-1,490962.75549999997,5921336.1314,-1,2910.116875,2934.116734,23.999859
490962.75549999997,5921336.1314,-1,490948.1253000004,5921356.4034,-1,2934.116734,2959.116669,24.999935
490948.1253000004,5921356.4034,-1,490933.8903000001,5921375.726,-1,2959.116669,2983.116629,23.999960
490933.8903000001,5921375.726,-1,490919.4704999998,5921394.911,-1,2983.116629,3007.116522,23.999893
490919.4704999998,5921394.911,-1,490904.2548000002,5921414.747199999,-1,3007.116522,3032.116369,24.999847
490904.2548000002,5921414.747199999,-1,490889.46169999987,5921433.6459,-1,3032.116369,3056.116300,23.999931
490889.46169999987,5921433.6459,-1,490874.4879999999,5921452.401799999,-1,3056.116300,3080.116205,23.999906
490874.4879999999,5921452.401799999,-1,490858.69959999993,5921471.7853,-1,3080.116205,3105.116078,24.999873
490858.69959999993,5921471.7853,-1,490843.36110000033,5921490.244000001,-1,3105.116078,3129.115936,23.999858
490843.36110000033,5921490.244000001,-1,490827.84609999973,5921508.5547,-1,3129.115936,3153.115873,23.999937
490827.84609999973,5921508.5547,-1,490811.49849999975,5921527.4690000005,-1,3153.115873,3178.115768,24.999895
490811.49849999975,5921527.4690000005,-1,490795.62760000024,5921545.472100001,-1,3178.115768,3202.115708,23.999939
490795.62760000024,5921545.472100001,-1,490779.5845999997,5921563.322000001,-1,3202.115708,3226.115640,23.999933
